Thai,English,Type
ถั่วเหลือง,soybean,N
ถ้า,if,Conj
ถาด,tray,N
ถ่าน,charcoal,N
ถ่านไฟฉาย,battery,N
ถาม,ask,V
ถ้าไม่,If not,Conj
ถ่ายทอด,relay,V
ถ่ายรูป,take a photo,V
ถ้ายังงั้น,"If not, then",Conj
ถ้าอย่างนั้น,Then,Conj
ถ้ำ,cave,N
ถีบ,kick,V
ถึง,to,V
ถึงแม้ว่า,although,Conj
ถือ,hold,V
ถุง,bag,N
ถุงเท้า,sock,N
ถุงมือ,glove,N
ถุงยาง,condom,N
ถู,rub,V
ถูก,cheap,Adj
ถูกต้อง,correct,V
ถูกแล้ว,That's right.,Adj
เถอะ (เถิด),Let's go (Let's go),Particle
เถียง,argue,V
แถว,row,N
แถวนั้น,Around there,N
แถวนี้  ,Around here  ,N
ทดลอง,test,V
ทดสอบ,test,V
ทน,bear,V
ทนทาน - ถาวร,Durable - Permanent,Adj
ทนายความ,lawyer,N
ทรัพยากร,resource,N
ทราบ,know,V
ทราย,sand,N
ทฤษฎี,theory,N
ทวง,Demand,V
ท่วม,Flooded,V
ทวีป,continent,N
ทวีปยุโรป,Europe,N
ทวีปอเมริกา,America,N
ทวีปอเมริกาใต้,South America,N
ทวีปอเมริกาเหนือ,North America,N
ทวีปออสเตรเลีย,Australia,N
ทวีปเอเชีย,Asia,N
ทวีปแอฟริกา,Africa,N
ทหาร,soldier,N
ทหารเรือ,sailor,N
ทหารอากาศ,air force,N
ทอ,woven,V
ท่อ,pipe,N
ทอง,gold,N
ท่อง,recite,V
ท้อง,abdomen,N
ท่องจำ,Memorize,V
ทองแดง,copper,N
ท่องเที่ยว,travel,V
ทองเหลือง,brass,N
ทอด,fry,V
ทอน,Change,V
ทอนเงิน,Change money,V
ท่อน้ำ,water pipe,N
ทะเบียน,register,N
ทะเล,sea,N
ทะเลทราย,desert,N
ทะเลสาบ,lagoon,N
ทั้ง,Both,Prefix
ทั้งคืน,All night,Adv
ทั้งวัน,All day,Adv
ทั้งสอง,both,Adj
ทั้งสิ้น,all,"Adj, Adv"
ทั้งหมด,all,"Adj, Adv"
ทั้งหลาย,All of them,Adj
ทัน,abreast,V
ทันเวลา,Just in time,V
ทันสมัย,modern,Adj
ทับ,crush,V
ทับทิม,pomegranate,N
ทั่ว,over,"Adj, Adv"
ทั่วไป,general,"Adj, Adv"
ท่า,posture,N
ทาง,way,N
ทางขวา,right side,N
ทางขวา (มือ),right side (hand),Adj
ทางเข้า,entrance,N
ทางซ้าย,left side,Adj
ทางซ้าย (มือ),left side (hand),Adj
ทางด่วน,expressway,N
ทางนั้น,That way,N
ทางนี้,This way,N
ทางโน้น,Over there,N
ทางม้าลาย,Zebra crossing,N
ทางรถไฟ,railway,N
ทางเลือก,choice,N
ทางหลวง,highway,N
ทางไหน,Which way?,Adv
ทางออก,exit,N
ทาน,eat,V
ทานข้าว,Eat,V
ท้าย,end,N
ท่ารถทัวร์,Tour bus terminal,N
ท่าเรือ,port,N
ทำ,do,V
ทำกับข้าว,cook a rice dish,V
ทำความสะอาด,clean,V
ทำงาน,work,V
ทำงานให้,work for,V
ทำด้วย …,Made with…,Adj
ทำโทษ,punish,V
ทำบุญ,give alms,V
ทำไม,Why,Question word
ทำลาย,destroy,V
ทำหาย,Lost it,V
ทำให้สะอาด,make clean,V
ทิ้ง,throw away,V
ทิชชู่,tissue,N
ทิศ,direction,N
ทิศทาง,direction,N
ที,time,V
ที่,at,Prep
ที่เก็บของ,Storage,N
ที่เขี่ยบุหรี่,ashtray,N
ที่จอด ,Parking ,N
ที่จอดรถ,Parking,N
ที่จะ,to,"V, Aux"
ที่ดิน,land,N
ทีเดียว,quite,Adv
ที่ตั้ง,Location,N
ที่ตีไข่,egg beater,N
ที่ทำงาน,workplace,N
ที่เที่ยว,Places to visit,N
ที่นอน,mattress,N
ที่นั่ง,seat,N
ที่นั่น,there,N
ที่นี่,here,N
ที่โน่น,Over there,N
ที่โน้น,over there,N
ที่พัก,accommodation,N
ทีม,team,N
ทีแรก,At first,Adv
ทีละคน,One by one,N
ที่แล้ว,ago,Adv
ที่ว่าง,Free space,N
ทีวี,TV,N
ที่สอง,Second,Adj
ที่สุด,the most,Adj
ที่หนึ่ง,number one,Adv
ทีหลัง,after,"Adv, Conj"
ที่เหลือ,The rest,N
ทีไหน,Where?,N
ที่ไหน (ใด),Where (any),N
ที่ไหนก็ได้,Anywhere,N
ที่อยู่,address,N
ทุก,each,Prefix
ทุกคน,everyone,N
ทุกครั้ง,every time,N
ทุกคืน,every night,N
ทุกเช้า,every morning,N
ทุกเดือน,every month,N
ทุกที,Every time,Adv
ทุกที่,everywhere,Adv
ทุกปี,Every year,Adv
ทุกเย็น,every evening,Adv
ทุกวัน,every day,Adv
ทุกวันนี้,today,Adv
ทุกสิ่ง,Everything,N
ทุกอย่าง,everything,N
ทุกอาทิตย์,every week,Adv
ทุน,Capital,N
ทุ่ม,7pm,N
ทุเรียน,durian,N
ทูต,ambassador,N
เท,pour,V
เทคโนโลยี,technology,N
เทนนิส,tennis,N
เทป,tape,N
เท้า,foot,N
เท่ากัน,equal,Adj
เท่าที่,As far as,"Adj, Adv"
เท่านั้น,only,Adv
เท่าไร,how much,Adj
เท่าไหร่,how much,Adj
เที่ยง (วัน),Noon (day),N
เที่ยงคืน,midnight,N
เทียน,candle,N
เทียบ,compare,V
เที่ยว,travel,V
เที่ยวเดียว,One way,N
แท้,genuine,Adj
แท็กซี่,taxi,N
แทง,stab,V
แทน,instead,V 
แทบ,almost,Adv
โท,Master,N
โทร ,phone ,V
โทรทัศน์,television,N
โทรทางไกล,long distance call,V
โทรไป,Call,V
โทรศัพท์,telephone,N
โทษ,blame,V
ไทฟอยด์,typhoid,N
ไทย,Thai,N
ธง,flag,N
ธนาคาร,bank,N
ธรรมชาติ,nature,N
ธรรมดา,ordinary,Adv
ธรรมเนียม,tradition,N
ธันวาคม,December,N
ธุรกิจ,business,N
ธุระ,business,N
เธอ,you,Pronoun
นก,bird,N
นกแก้ว,parrot,N
นกยูง,peacock,N
นกฮูก,owl,N
นม,milk,N
นมข้น,Condensed milk,N
นมข้นหวาน,sweetened condensed milk,N
นมพร่องมันเนย,skim milk,N
นโยบาย,policy,N
นวด,massage,V
นอก,out,"Adj, Adv"
นอกจาก,except,Prep
น้อง,sibling,N
น้องเขย,Brother-in-law,N
น้องชาย,younger brother,N
น้องสะใภ้,sister-in-law,N
น้องสาว,younger sister,N
นอน,sleep,V
นอนเต็มอิ่ม,Sleep well,V
นอนเล่น,lie down and play,V
นอนหลับ,sleep,V
น้อย,little,Adj
น้อยกว่า,less,Adj
น้อยลง,less,Adj
น้อยหน่า,custard apple,N
นอร์เวย์,Norway,N
นะ,Yes.,Particle
นัก,student,"Adv, prefix"
นักการเมือง,politician,N
นักกีฬา,sportsperson,N
นักเขียน,writer,N
นักดนตรี,musician,N
นักท่องเที่ยว,tourist,N
นักธุรกิจ,businessperson,N
นักประพันธ์,novelist,N
นักแปล,translator,N
นักร้อง,singer,N
นักเรียน,student,N
นักศึกษา,student,N
นั่ง,sit,V
นั่งเล่น,sit and play,V
นัด,shot,V
นั่น,that,N
นั้น,that,Adj
นั้นๆ,that,Adv
นับ,count,V
นับถือ,respect,V
นา,rice paddy,N
น่า,probably,Prefix
น้า,aunt,N
น่ากลัว,scary,Adj
น่ากิน,tasty,Adj
น่าเกลียด,horrible,Adj
นาง,Mrs.,N
นางพยาบาล,nurse,N
นางสาว,miss,N
น่าซื้อ,Worth buying,"Adj, Adv"
น่าดู,Worth watching.,"Adj, Adv"
น่าทาน,Looks delicious,"Adj, Adv"
นาที,minute,N
นาน,long,Adv
นานาชาติ,international,N
น่าเบื่อ,boring,"Adj, Adv"
น่าฟัง,Worth listening to,Adv
นาม,noun,N
นามบัตร,card,N
นามสกุล,surname,N
นาย,Mr.,N
นายกรัฐมนตรี,Prime Minister,N
นายจ้าง,Employer,N
น่ารัก,cute,Adj
น่ารำคาญ,annoying,"Adj, Adv"
น่ารู้,Good to know,"Adj, Adv"
น่าลอง,Worth a try.,"Adj, Adv"
น่าไว้ใจ,Trustworthy,"Adj, Adv"
น่าสนใจ,interesting,"Adj, Adv"
น่าเสียใจ,Sad,Adj
น่าเสียดาย,unfortunate,Adj
นาฬิกา,clock,Adj
นาฬิกาปลุก,alarm clock,N
น่าอยู่,Nice place to live,"Adj, Adv"
น่าอ่าน,Worth reading.,"Adj, Adv"
น่าอาย,Embarrassing,"Adj, Adv"
นำ,lead,V
น้ำ,water,N
นำเข้า,import,V
น้ำแข็ง,ice,N
น้ำใจ,kindness,N
น้ำชา,tea,N
น้ำเชื่อม,syrup,N
น้ำโซดา,Soda water,N
น้ำดื่ม,Drinking water,N
น้ำตา,tear,N
น้ำตาล,sugar,N
น้ำนม,milk,N
น้ำปลา,fish sauce,N
น้ำเปล่า,Water,N
น้ำผลไม้,fruit juice,N
น้ำมะนาว,lemon juice,N
น้ำมัน,oil,N
น้ำมันพืช,vegetable oil,N
น้ำมันมะกอก,olive oil,N
น้ำเย็น,Cold water,N
น้ำส้ม,orange juice,N
น้ำส้ม,orange juice,N
น้ำส้มสายชู,vinegar,N
น้ำหนัก,weight,N
น้ำหอม,perfume,N
น้ำอัดลม,soft drink,N
นิกาย,sect,N
นิดเดียว,a little,Adv
นิดนึง,A little bit,Adv
นิดหน่อย,a little,Adv
นิตยสาร,magazine,N
นิมนต์,invitation,V
นิยม,popular,Adj
นิ้ว,finger,N
นิวซีแลนด์,New Zealand,N
นิ้วเท้า,toenail,N
นิ้วมือ,fingers,N
นิสัย,character,N
นิสัยดี,Nice personality,Adj
นี่,this,N
นี้,this,Adj
นึก,imagine,V
นึกถึง - ดำริ,think about - think about,V
นึง,One,Particle
นึ่ง,steam,V
นุ่ม,soft,Adj
เนเธอร์แลนด์,Netherlands,N
เน้น,emphasize,V
เนย,butter,N
เนยแข็ง,Cheese,N
เน่า,rot,Adj
เนื้อ,meat,N
เนื่องจาก,due to,Conj
เนื้อที่,area,N
เนื้อผ้า,fabric,N
เนื้อวัว,beef,N
เนื้อหมู,pork,N
แน่ (ใจ),sure),Adj
แน่ (นอน),certain),Adj
แน่ใจ,sure,Adj
แน่น,tight,Adv
แน่นอน,certain,Adv
แนวทาง,Guidelines,N
แนวโน้ม,trend,N
แนะนำ,recommend,V
โน้ตบุ๊ก,Notebook,N
โน่น,that,N
โน้น,that,Adj
ใน,in,Prep
ในขณะที่,while,Conj
ในที่สุด,in the end,Adv
ในไม่ช้า,soon,Adv
ในระหว่าง,during,"Conj, Prep"
ในเร็วๆนี้,soon,Adv
ในอนาคต,future,Adv
บ.ข.ส. บริษัทขนส่ง,Transport Company,N
บก,land,N
บท,chapter,N
บทเรียน,lesson,N
บน,on,Prep
บรรจุ,contain,V
บรรดา,Those,N
บรรพบุรุษ,gentleman,N
บรั่นดี,brandy,N
บราซิล,Brazil,N
บริการ,serve,V
บริโภค,consume,V
บริเวณ,area,N
บริษัท,company,N
บวม,swell,V
บอก,tell,Adj
บอกว่า,said,V
บ่อย,frequent,V
บ่อยๆ,often,Adv
บะหมี่,noodle,Adv
บังคับ,force,N
บังเอิญ,by accident,V
บัญชี,account,Adv
บัตร,card,N
บัตร A.T.M.,A.T.M. card,N
บัตรเครดิต,credit card,N
บัตรเชิญ,invitation card,N
บัตรประจำตัว,Identification card,N
บัตรประชาชน,ID card,N
บัตรผ่าน,pass,N
บันได,stairs,N
บันทึก,record,N
"บัว, ดอกบัว","lotus, lotus flower",V
บ้า,crazy,N
บาง,thin,Adj
บ้าง,some,Adv
บางครั้ง,sometimes,Adv
บางที,sometimes,Adv
บางอย่าง,something,N
บาด,cut,V
บาดเจ็บ,injured,Adj
บาท,baht,N
บาน,bloom,"V, Pronoun, Class"
บ้าน,house,N
บ้านเช่า,House for rent,N
บ้านนอก,rustic,N
บ้านเลขที่,house number,N
"บ่าย, บ่ายๆ","afternoon, afternoon",N
บ่ายนี้,This afternoon,N
บิดา,father,N
บิดามารดา,Parents,N
บิน,fly,V
บีทีเอส,BTS,N
บีบ,squeeze,V
บุคคล,person,N
บุญ,merit,N
บุรุษ,man,N
บุรุษไปรษณีย์,postman,N
บุหรี่,cigarette,N
บูด,spoiled,Adj
เบคอน,bacon,N
เบลเยี่ยม,Belgium,N
เบอร์,number,N
เบอร์โทรศัพท์,telephone number,N
เบา,light,Adj
เบาใจ,relieved,Adj
เบาะ,pad,N
เบาะหลัง,back seat,N
เบิก,withdraw,V
เบิกเงิน,Withdraw money,V
เบียร์,beer,N
เบื่อ,bored,Adj
แบก,bear,V
แบ่ง,separate,V
แบงค์,banknote,N
แบ๊งค์ย่อย,Small bankroll,N
แบตเตอรี่,battery,N
แบน,flat,N
แบบ,type,N
แบบนี้,like this,N
แบบฟอร์ม,form,N
แบบไหน,What kind?,N
โบราณ,ancient,N
โบว์ลิ่ง,bowling,N
โบสถ์,church,N
ใบ,blade,N
ใบกระเพรา,Holy basil leaves,N
ใบขับขี่,driving license,N
ใบตอง,banana leaf,N
ใบมะกรูด,Kaffir lime leaves,N
ใบไม้,leaf,N
ใบร้อย,hundred baht,N
ใบละร้อย,100 baht each,N
ใบละห้า,Five per ticket,N
ใบสั่งยา,prescription,N
ใบเสร็จ,receipt,N
ใบโหระพา,Basil,N
ใบอนุญาตขับขี่,license,N
ปก,cover,N
ปกครอง,rule,V
ปกติ,normal,Adv
ปฏิบัติ,carry out,V
ปฏิเสธ,refuse,V
ปน (กัน),mix (together),V
ประกอบ,assemble,V
ประกอบด้วย,together with,V
ประกัน,guarantee,V
ประกาศ,announce,V
ประจำ,regular,Adv
ประจำเดือน,period,Adv
ประจำวัน,daily,Adv
ประชากร,population,N
ประชาชน,population,N
ประชาธิปไตย,democracy,N
ประชุม,meet,V
ประตู,door,N
ประตูหน้า,front door,N
ประถม,primary,Adj
ประเทศ,country,N
ประเทศไทย,Thailand,N
ประเทศอเมริกา,America,N
ประเทศอังกฤษ,England,N
ประธาน,chairman,N
ประพฤติ,behave,V
ประเพณี,tradition,N
ประเภท,type,N
ประมาณ,about,"V, Prep"
ประมูล,auction,V
ประเมิน,estimate,V
ประเมินผล,Evaluate,V
ประโยค,sentence,N
ประโยชน์,benefit,N
ประวัติศาสตร์,history,N
ประสงค์,wish,V
ประสบ,suffer,V
ประสบการณ์,experience,N
ประสานงาน,coordinate,V
ประหยัด,save,V
ปรับ,adjust,V
ปรับปรุง,amend,V
ปรากฏ,appear,V
ปริญญา,degree,N
ปริมาณ,amount,N
ปรึกษา,consult,V
ปลอกหมอน,pillowcase,N
ปลอดภัย,safe,Adj
ปลอม,counterfeit,V
ปล่อย,release,V
ปลา,fish,N
ปลาทู,mackerel,N
ปลาย,end,N
ปลายเดือน,end of month,N
ปลายปี,end of year,N
ปลาหมึก,squid,N
ปลุก,alarm,V
ปลูก,plant,V
ปวด,pain,Adj
ปวดท้อง,stomach ache,Adj
ปวดฟัน,toothache,Adj
ปวดหลัง,backache,Adj
ปวดหัว,have a headache,Adj
ป่วย,sick,V
ป้องกัน,prevent,V
ป้อน,Enter,V
ปอนด์,pound,N
ปัจจัย,factor,N
ปัจจุบัน,current,N
ปัญหา,problem,N
ปั่น,mix,V
ปั้น,mold,V
ปั่น ,mix ,V
ปั๊ม,pump,V
ปั๊มน้ำมัน,gas station,N
ป่า,forest,N
ป้า,aunt,N
ปาก,mouth,N
ปากกา,pen,N
ปากซอย,mouth of the alley,N
ปากีสถาน,Pakistan,N
ปานามา,Panama,N
ป่าไม้,forest,N
ป้าย,sign,N
ป้ายรถเมล์ ,bus stop ,N
ปิ้ง,Toast,V
ปิด,turn off,V
ปี,year,N
ปี่,Bagpipes,N
ปีก,wing,N
ปีที่แล้ว,last year,N
ปีนี้,This year,N
ปีหน้า,next year,N
ปืน,gun,N
ปืนพก,pistol,N
ปู่,paternal grandfather,N
ปู่ย่าตายาย,Grandparents,N
เป็ด,duck,N
เป็น,is,V
เป็นไข้,have a fever,Adj
เป็นต้น,etc.,Adv
เป็นบางคราว,Occasionally,Adv
เป็นไปได้,possible,Adj
เป็นไปไม่ได้,impossible,Adj
เป็นพิษ,Toxic,Adj
เป็นมิตร,friendly,Adj
เป็นลม,faint,Adj
เป็นโสด,Single,Adj
เป็นหนี้,in debt,V
เป็นห่วง,worry,V
เป็นหวัด,have a cold,Adj
เปรียบเทียบ,compare,V
เปรี้ยว,sour,Adj
เปรี้ยวหวาน,sweet and sour,Adj
เปล่า,nothing,Adj
เปลี่ยน,change,V
เปลี่ยนแปลง,change,V
เปลือก,shell,N
เป้าหมาย,target,N
เปิด,open,V
เปิดบัญชี,open an account,V
เปิดเผย,reveal,V
เปียก,wet,Adj
แป้ง,flour,N
แปด ๘,Eight 8,N
แปดสิบ,Eighty,N
แปรง,brush,N
แปรงฟัน,brush teeth,V
แปรงสีฟัน,toothbrush,N
แปล,translate,V
แปลกใจ,surprised,Adj
แปลง,convert,N
แปลว่า,Meaning,V
โปรแกรม,program,N
โปรด,please,Adv
โปรตุเกส,Portugal,N
ไป,go,V
ไปกลับ,round trip,V
ไปก่อน,Go first.,V
ไปช้อปปิ้ง,go shopping,V
ไปซื้อของ,go shopping,V
ไปด้วย,go with,V
ไปด้วยกัน,Let's go together,V
ไปถึง,to reach,V
ไปเที่ยว,travel,V
ไปธุระ,Going on business,V
ไปนอน,go to sleep,V
ไปเยี่ยม,go visit,V
ไปรษณีย์,post office,N
ไปรับ,pick up,V
ไปส่ง,send,V
ไปหา,go find,V
ผงกะหรี่,Curry powder,N
ผงชูรส,monosodium glutamate,N
ผงซักฟอก,washing powder,N
ผม,hair,N
ผมเอง,It's me,N
ผล,result,N
ผลกระทบ,effect,N
ผลไม้,fruit,N
ผลัก,push,V
ผลิต,manufacture,V
ผลิตภัณฑ์,product,N
ผสม,mix,V
ผอม,thin,Adj
ผัก,vegetable,N
ผักกาด,lettuce,N
ผักกาดหอม,lettuce,N
ผักขม,spinach,N
ผักชี,coriander,N
ผักชีฝรั่ง,parsley,N
ผัด,puff,V
ผัดไทย,Pad Thai,N
ผับ,pub,N
ผัว,husband,N
ผ่า,dissect,V
ผ้า,cloth,N
ผ้ากันเปื้อน,apron,N
ผ้าเช็ดตัว,towel,N
ผ้าเช็ดมือ,Hand towel,N
ผ่าน,pass,V
ผ่าน (ไป),pass (go),V
ผ้าใบ,canvas,N
ผ้าปูโต๊ะ,tablecloth,N
ผ้าปูที่นอน,bedsheet,N
ผ้าฝ้าย,cotton,N
ผ้าพันแผล,bandage,N
ผ้าม่าน,curtain,N
ผ้าห่ม,blanket,N
ผ้าไหม,silk,N
ผิด,wrong,Adj
ผิดกฎหมาย,break the law,Adj
ผิดหวัง,disappointed,V
ผิว,skin,N
ผิวไหม้,sunburn,Adj
ผี,ghost,N
ผีเสื้อ,butterfly,N
ผึ้ง,bee,N
ผู้,person,Prefix
ผูก,tied,V
ผู้กำกับ,Director,N
ผู้จัดการ,manager,N
ผู้ชาย,man,N
ผู้เช่า,Tenant,N
ผู้แต่ง,Author,N
ผู้ปกครอง,parent,N
ผู้ผลิต,manufacturer,N
ผู้พิพากษา,judge,N
ผู้หญิง,woman,N
ผู้ใหญ่,adult,N
เผ็ด,spicy,Adj
เผา,burn,V
เผาศพ,Cremation,V
เผือก,taro,N
เผื่อว่า,supposing,Conj
แผ่น,sheet,N
แผนก,department,N
แผ่นดิน,land,N
แผนที่,map,N
แผล,wound,N
ฝน,rain,N
ฝรั่ง,foreigner,N
ฝรั่งเศส ,France ,N
ฝัง,embed,V
ฝั่ง,bank,N
ฝา,lid,N
ฝาก,deposit,V
ฝากเงิน,Deposit money,V
ฝาผนัง,wall,N
ฝ่าย,cotton,N
ฝ้าย,cotton,N
ฝิ่น,opium,N
ฝี,abscess,N
ฝีมือ,workmanship,N
ฝึก,Practice,V
ฝึกหัด,practice,V
เฝ้า,guard,V
ไฝ,mole,N
พ.ศ.,B.E.,N
พก,carry,V
พจนานุกรม,dictionary,N
พ่น,spit,V
พนักงานเสิร์ฟ,Waiter,N
พบ,meet,V
พบ … กัน,Met … each other,V
พบกัน,see you,V
พม่า ,Myanmar ,N
พยัญชนะ,consonant,N
พยางค์,syllable,N
พยาธิ,parasite,N
พยาน,witness,N
พยาบาล,nurse,N
พยายาม,try,V
พรม,carpet,N
พร้อม,ready,Adv
พร้อมกัน,together,Adv
พระ,monk,N
พระจันทร์,moon,N
พระพุทธรูป,Buddha statue,N
พระอาทิตย์,sun,N
พริก,bitter,N
พริกไทย,black pepper,N
พรุ่งนี้,tomorrow,N
พรุ่งนี้เช้า,tomorrow morning,N
พฤศจิกายน,November,N
พฤษภาคม,May,N
พลอย,gem,N
พลังงาน,energy,N
พลาสติก,plastic,N
พลาสเตอร์,Plaster,N
พวก,guys,Prefix
พวกเขา,they,Pronoun
พวกเขาเอง,themselves,Personal Pronoun
พวกนี้,These,N
พวกเรา,we,N
พอ,enough,Adj
พ่อ,father,N
พอ + verb + ได้ ,Enough + verb + able ,Adj
พ่อค้า,merchant,N
พอใจ,satisfied,Adj
พอใช้ได้,fairly,Adj
พอดี,fit,Adj
พ่อตา,father-in-law,N
พ่อทูนหัว,godfather,N
พ่อม่าย,widower,N
พ่อแม่,parents,N
พ่อเลี้ยง,stepfather,N
พัก,stay,V
พักผ่อน,rest,V
พักร้อน,Vacation,V
พัฒนา,develop,V
พัด,blow,V
พัดลม,fan,N
พัน,thousand,N
พัสดุ,parcel,N
พา,Take,V
พาน,tray,N
พาไป,take away,V
พาย,pie,V
พายุ,storm,N
พาสปอร์ต,Passport,N
พาหนะ,vehicle,N
พิง,lean,V
พิจารณา,consider,V
พิธี,ceremony,N
พิพิธภัณฑ์,museum,N
พิมพ์,print,V
พิมพ์ดีด,typewriter,V
พิเศษ,special,Adj
พิษ,venom,N
พี่,elder sibling,N
พี่เขย,Brother-in-law,N
พี่ชาย,elder brother,N
พี่น้อง,sibling,N
พี่สะใภ้,sister-in-law,N
พี่สาว,elder sister,N
พืช,plant,N
พื้น,floor,N
พื้นฐาน,basic,N
พุง,Belly,N
พูด,speak,V
พูดเล่น,joking,V
พูดว่า,say,V
เพชร,diamond,N
เพดาน,ceiling,N
เพราะ (ว่า),because),Conj
เพลง,song,N
เพศ,sex,N
เพิ่ง,just,Adv
เพิ่ม,increase,V
เพิ่มขึ้น,more,V
เพิ่มเติม,more,V
เพียง,just,Adv
เพียงพอ,enough,Adv
เพึ่ง,rely on,Adv
เพื่อ,to,Conj
เพื่อที่จะ,in order to,Conj
เพื่อน,friend,N
เพื่อว่า,so that,Conj
แพ้,lose,V
แพง,expensive,Adj
แพะ,goat,N
ไพ่,card,N
ฟรี,free,Adj
ฟ้อง,sue,V
ฟองน้ำ,sponge,N
ฟักทอง,pumpkin,N
ฟัง,listen,V
ฟังเพลง,listen to music,V
ฟัน,tooth,N
ฟ้า,sky,N
ฟาง,straw,N
ฟินแลนด์,Finland,N
ฟิล์ม,film,N
ฟิลิปปินส์,Philippines,N
ฟุต,foot,N
แฟน,sweetheart,N
แฟ้บ,Flat,N
แฟ้มข้อมูล,data file,N
ไฟ,electricity,N
ไฟเขียว,green light,N
ไฟฉาย,torch,N
ไฟแดง ,red light ,N
ไฟฟ้า,electricity,N
ภรรยา,wife,N
ภริยา,wife,N
ภัตตาคาร,restaurant,N
ภาค,sector,N
ภาคใต้,South,N
ภาคเหนือ,the North,N
ภาคอีสาน,Northeastern region,N
ภาพ,picture,N
ภาพยนต์,Movies,N
ภายนอก,external,"Adj, Adv"
ภายใน,inside,"Adj, Adv"
ภายในประเทศ,within the country,"Adj, Adv"
ภายหลัง,after,Conj
ภาวะ,condition,N
ภาษา,language,N
ภาษาไทย,Thai language,N
ภาษาอังกฤษ,English,N
ภาษี,tax,N
ภูเขา,mountain,N
ภูมิใจ,proud,Adj
ภูมิศาสตร์,geography,N
เภสัช,Pharmacy,N
มกราคม,January,N
มด,ant,N
มนุษย์,human,N
มรสุม,storm,N
มลายู ,Malay ,N
ม่วง,purple,"N, adj"
มวน,roll,"N, Class"
มหาวิทยาลัย,university,N
มหาสมุทร,ocean,N
มอง,look,V
มองดู,look,V
มองหา,looking for,V
มองเห็น,see,V
มอเตอร์ไซค์,motorcycle,N
มะขาม,tamarind,N
มะเขือ,eggplant,N
มะเขือเทศ,tomato,N
มะนาว,lemon,N
มะพร้าว,coconut,N
มะม่วง,mango,N
มะรืนนี้,The day after tomorrow,N
มะเร็ง,cancer,N
มะละกอ,papaya,N
มักจะ,usually,Adv
มังคุด,mangosteen,N
มัดจำ,Deposit,V
มัธยม,secondary school,N
มัน,it,Pronoun
มั่นคง,secure,Adj
มั่นใจ,confident,Adj
มันทอด,Fried potatoes,N
มันเทศ,yam,N
มันฝรั่ง,wish,N
มัสตาร์ด,mustard,N
มา,come,V
ม้า,horse,N
มาก,a lot,Adj
มากกว่า,more than,Adj
มากขึ้น,more,Adj
มากมาย,lots,Adj
มาก่อน,come first,Adv
มาจาก,come from,V
มาตรฐาน,standard,N
มาถึง,arrive,V
มาถึง,arrive,V
มาเที่ยว,Come visit,V
ม่าน,curtain,N
มานาน,for a long time,V
มาเยี่ยม ,Come visit ,V
มารยาท,manners,N
มารับ,come pick me up,V 
มาลาเรีย,malaria,N
มาเลเซีย,Malaysia,N
มาหา,Come find me.,V
มิถุนายน,June,N
มี,have,V
มีคน,There are people,N
มีความสุข,be happy,Adj
มีค่า,valuable,Adj
มีชื่อเสียง,reputable,Adj
มีด,knife,N
มีดโกน,razor,N
มีแต่,There is only,V
มีท้อง ,Pregnant ,V
มีธุระ,I'm busy.,Adj
มีนัด,Have an appointment,V
มีนาคม,March,N
มีน้ำใจ,Be considerate,Adj
มีราคา,There is a price.,Adj
มีลูก,Have a child,Adj
มืด,dark,Adj
มือ,hand,N
มือขวา,forte,N
มือถือ,Mobile phone,N
มือสอง,second hand,N
มือใหม่,rookie,N
มุ้ง,net,N
มุ้งลวด,mosquito wire screen,N
มุม,corner,N
เมฆ,cloud,N
เม็ด,grain,N
เมตร,m.,N
เมนู,menu,N
เมล็ด,seed,N
เมษายน,April,N
เมา,drunk,Adj
เมาส์,Mouse,N
เมาเหล้า,drunk,Adj
เมีย,wife,N
เมียน้อย,mistress,N
เมียหลวง,Royal wife,N
เมื่อ,when,Conj
เมื่อก่อน,before,Adv
เมื่อกี้,a moment ago,Adv
เมื่อกี้นี้,Just now,Adv
เมื่อคืน,last night,Adv
เมื่อคืนนี้,last night,Adv
เมือง ,city ,N
เมืองไทย,Thailand,N
เมืองนอก,Foreign country,N
เมืองหลวง,capital,N
เมื่อเช้านี้,this morning,Adv
เมื่อตะกี้,just now,Adv
เมื่อไร,when,Adv
เมื่อวาน (นี้),yesterday (this),Adv
เมื่อวานซืนนี้,the day before yesterday,Adv
เมื่อไหร่,when,Conj
แม่,mother,N
แม่ครัว,cook,N
แม่ค้า,female trader,N
แม่ชี,nun,N
แม่น้ำ,river,N
แม่บ้าน,maid,N
แม่ม่าย,widow,N
แม่ยาย,Mother-in-law,N
แมลง,insect,N
แมลงวัน,fly,N
แมลงสาบ,cockroach,N
แมว,cat,N
แม้ว่า,although,Conj
โมง,hour,N
โมโห,angry,Adj
ไม่,no,"V, Aux"
ไม้,wood,N
ไม่ ... เท่าไร,No... how much?,Adj
ไม่ ... เลย,not at all,Adv
ไม้กวาด,broom,N
ไม่เกี่ยว,Not related,Adj
ไม้ขีด,matches,N
ไม้แขวนเสื้อ,coat hanger,N
ไม่ค่อย (จะ),rarely (will),Adv
ไม่เคย,never,Adv
ไม้จิ้มฟัน,Toothpick,N
ไม่ชอบ,do not like,V
ไม่ใช่,no,V
ไม่ดี,not good,Adj
ไม่ได้,cannot,V
ไม่ต้อง,do not need,V
